Person No,Predicted Personality,country
1,dependable,american
2,responsible,american
3,extraverted,american
4,serious,american
5,responsible,american
6,serious,american
7,serious,american
8,serious,american
9,serious,american
10,serious,american
11,lively,american
12,responsible,american
13,responsible,american
14,serious,american
15,lively,american
16,serious,gaelic
17,serious,gaelic
18,serious,american
19,serious,gaelic
20,extraverted,american
21,serious,american
22,extraverted,american
23,serious,american
24,extraverted,american
25,serious,american
26,dependable,american
27,extraverted,american
28,extraverted,american
29,extraverted,american
30,responsible,american
31,responsible,american
32,lively,american
33,extraverted,american
34,lively,american
35,serious,american
36,serious,american
37,serious,american
38,serious,american
39,extraverted,american
40,serious,american
41,responsible,american
42,responsible,american
43,serious,american
44,lively,american
45,extraverted,american
46,serious,american
47,responsible,american
48,serious,american
49,serious,american
50,extraverted,american
51,serious,american
52,lively,american
53,serious,american
54,extraverted,american
55,extraverted,american
56,extraverted,american
57,extraverted,american
58,serious,american
59,serious,american
60,serious,american
61,responsible,american
62,serious,american
63,extraverted,american
64,serious,american
65,serious,american
66,responsible,american
67,serious,american
68,extraverted,american
69,serious,american
70,serious,american
71,serious,american
72,serious,american
73,serious,american
74,lively,american
75,responsible,american
76,extraverted,american
77,serious,hawaiian
78,serious,american
79,serious,american
80,dependable,american
81,serious,american
82,serious,american
83,extraverted,american
84,extraverted,american
85,serious,american
86,lively,american
87,serious,american
88,serious,american
89,serious,american
90,serious,american
91,serious,american
92,responsible,american
93,serious,american
94,serious,american
95,serious,american
96,extraverted,american
97,serious,american
98,extraverted,american
99,serious,american
100,serious,american
101,extraverted,american
102,extraverted,american
103,extraverted,american
104,lively,american
105,serious,american
106,serious,american
107,serious,japanese
108,extraverted,american
109,serious,american
110,serious,american
111,serious,american
112,serious,american
113,lively,american
114,serious,american
115,serious,american
116,extraverted,american
117,serious,japanese
118,serious,american
119,serious,american
120,extraverted,american
121,lively,american
122,lively,american
123,serious,american
124,serious,american
125,lively,american
126,serious,american
127,serious,american
128,serious,american
129,serious,american
130,serious,american
131,serious,american
132,dependable,american
133,lively,american
134,serious,american
135,dependable,american
136,serious,american
137,responsible,american
138,extraverted,american
139,lively,american
140,serious,american
141,serious,american
142,serious,american
143,serious,american
144,serious,american
145,serious,american
146,extraverted,american
147,serious,american
148,serious,american
149,serious,american
150,extraverted,hawaiian
151,serious,american
152,lively,american
153,extraverted,hawaiian
154,extraverted,american
155,serious,american
156,responsible,american
157,extraverted,american
158,serious,american
159,serious,american
160,responsible,american
161,extraverted,american
162,serious,american
163,serious,american
164,serious,american
165,responsible,american
166,serious,american
167,extraverted,american
168,extraverted,american
169,serious,american
170,serious,hawaiian
171,serious,american
172,extraverted,american
173,responsible,german
174,responsible,american
175,serious,american
176,serious,american
177,lively,american
178,serious,american
179,serious,american
180,extraverted,american
181,lively,american
182,serious,american
183,extraverted,american
184,serious,american
185,extraverted,american
186,serious,american
187,lively,american
188,extraverted,american
189,extraverted,american
190,extraverted,american
191,serious,american
192,extraverted,american
193,serious,american
194,lively,american
195,serious,american
196,serious,american
197,serious,american
198,extraverted,american
199,responsible,greek
200,serious,american
201,serious,american
202,serious,american
203,lively,american
204,serious,american
205,serious,american
206,serious,american
207,serious,american
208,serious,american
209,extraverted,american
210,serious,american
211,extraverted,american
212,extraverted,american
213,extraverted,american
214,extraverted,american
215,lively,american
216,extraverted,american
217,extraverted,american
218,dependable,american
219,dependable,gaelic
220,dependable,american
221,extraverted,american
222,extraverted,american
223,extraverted,american
224,serious,american
225,serious,american
226,extraverted,american
227,serious,american
228,extraverted,american
229,serious,american
230,dependable,american
231,extraverted,american
232,serious,american
233,serious,american
234,extraverted,american
235,extraverted,american
236,serious,american
237,responsible,american
238,extraverted,american
239,serious,american
240,serious,american
241,dependable,american
242,serious,american
243,extraverted,american
244,serious,american
245,serious,american
246,extraverted,american
247,serious,american
248,serious,american
249,responsible,american
250,extraverted,american
251,serious,american
252,extraverted,american
253,serious,american
254,extraverted,american
255,serious,american
256,responsible,american
257,responsible,american
258,extraverted,american
259,lively,american
260,serious,american
261,serious,american
262,responsible,american
263,lively,american
264,lively,american
265,serious,american
266,extraverted,american
267,serious,american
268,serious,gaelic
269,serious,american
270,serious,american
271,extraverted,american
272,serious,american
273,extraverted,american
274,serious,american
275,lively,american
276,responsible,american
277,extraverted,american
278,extraverted,american
279,serious,american
280,serious,american
281,responsible,american
282,extraverted,american
283,serious,american
284,extraverted,american
285,lively,american
286,dependable,american
287,dependable,american
288,extraverted,american
289,extraverted,american
290,extraverted,hawaiian
291,extraverted,american
292,extraverted,american
293,extraverted,american
294,serious,american
295,extraverted,american
296,extraverted,american
297,extraverted,american
298,serious,african
299,extraverted,american
300,extraverted,american
301,serious,american
302,serious,american
303,serious,american
304,serious,american
305,serious,american
306,serious,american
307,serious,american
308,serious,american
309,serious,american
310,serious,american
311,extraverted,american
312,serious,russian
313,dependable,russian
314,extraverted,russian
315,extraverted,russian
